anchor,label_strategy,n_samples,B0_pf,B0_n,B1_pf,B1_n,B2_pf,B2_n,B3_pf,B3_n,B4_pf,B4_n,LIVE_pf,LIVE_n
3000,adaptive(dd>-0.002/rise<0.002),1504,0.9160107680729436,149,0.5646100189619044,249,0.64455872571264,27,0.7163028630541332,39,0.7802847468927918,176,0.625844191504763,28
3200,adaptive(dd>-0.002/rise<0.002),1534,0.8268436401127884,143,0.6975988571212175,228,0.3106329565736999,57,0.3556106767931362,97,0.5687382983432442,200,0.3203079796567005,65
3400,adaptive(dd>-0.002/rise<0.002),1547,0.7847189002412376,127,0.7534941043957051,208,3.5646020849603084,34,1.172627435075553,72,2.174660492600773,161,3.5646020849603084,34
3600,adaptive(dd>-0.002/rise<0.002),1598,0.6639686491050717,155,0.7015551422320108,248,23.022236101860024,55,4.9469595331636596,92,11.843102375482548,210,23.022236101860024,55
3800,adaptive(dd>-0.002/rise<0.002),1606,1.7851312480874872,131,1.3855202221857303,268,2.6142496049579806,43,1.8176724239191908,79,2.199690426522734,174,2.660261113723798,48
4000,adaptive(dd>-0.002/rise<0.002),1627,1.949008719174908,157,1.3130140301976327,229,1.932015013011373,22,2.2046757040889196,76,1.9405118660931404,179,1.288298003436256,30
4200,adaptive(dd>-0.002/rise<0.002),1631,2.363444859450304,129,2.6596084194822533,170,1.3360634175302248,40,1.1730163571449164,62,1.8497541384902645,169,1.2465088093906125,48
4400,adaptive(dd>-0.002/rise<0.002),1652,1.4671677550771265,166,2.223542338815038,171,1.4416961860128856,62,0.9182480776086355,91,1.4544319705450062,228,1.3935012995904725,65
4600,adaptive(dd>-0.002/rise<0.002),1688,1.266546158110801,167,1.377577037146612,254,4.909240969736674,58,1.7302889584998762,100,3.0878935639237373,225,3.9980178894723806,65
4800,adaptive(dd>-0.002/rise<0.002),1712,0.9069008299959443,151,1.1441891107652347,255,1.139823757904817,51,0.5339300757691686,95,1.0233622939503806,202,1.8082199044249159,59
5000,adaptive(dd>-0.002/rise<0.002),1726,0.8577757955092649,167,0.8223238824021307,234,1.2590014962280893,40,1.1805865782900382,74,1.058388645868677,207,1.2385331905447772,50
5200,adaptive(dd>-0.002/rise<0.002),1752,0.8777832718993879,140,0.847540418537983,228,0.8506678025339569,37,2.4587328736777234,91,0.8642255372166724,177,0.7384474762916065,48
5400,adaptive(dd>-0.002/rise<0.002),1767,1.3732087080859283,157,1.4693647219648498,225,1.6028718423336388,54,2.1085576865155797,86,1.4880402752097837,211,1.8512905852750996,66
5600,adaptive(dd>-0.002/rise<0.002),1789,1.88179103444004,157,1.2479858231253629,226,4.491774282346091,61,2.599399335014874,101,3.1867826583930654,218,4.122873030452251,75
5800,adaptive(dd>-0.002/rise<0.002),1806,3.9546924391063807,168,2.0462001137161234,256,0.47432711936827865,63,0.7635397550011181,103,2.21450977923733,231,0.5239721646987016,75
6000,adaptive(dd>-0.002/rise<0.002),1811,2.7003384857004775,199,1.9608673397621446,262,15.733691743904425,74,10.291237532176673,145,9.21701511480245,273,12.089971553981595,82
6200,adaptive(dd>-0.002/rise<0.002),1812,4.607191549734643,222,3.22797839887433,288,0.979473894134466,57,1.0403690143600461,110,2.7933327219345543,279,1.009181346806516,67
6400,adaptive(dd>-0.002/rise<0.002),1806,3.4225371808865965,198,3.2950022555714114,294,0.38578173516823205,56,0.5379261658445402,125,1.9041594580274144,254,0.20149297850694647,71
6600,adaptive(dd>-0.002/rise<0.002),1753,2.6635838502420635,188,2.2615829531757803,272,2.488085187452379,55,1.6314299506928307,123,2.575834518847221,243,2.582877379460758,68
6800,adaptive(dd>-0.002/rise<0.002),1744,1.574944352383382,197,2.0995198749053077,309,0.44214615304192206,46,1.2212953993170972,119,1.008545252712652,243,0.4072417431895266,64
7000,adaptive(dd>-0.002/rise<0.002),1732,0.9912251443134922,222,1.6720530998975778,295,0.3723195528206462,79,0.6170707551228666,132,0.6817723485670693,301,0.5268831717757496,88
7200,adaptive(dd>-0.002/rise<0.002),1727,0.9613813262498491,212,0.9343955893674412,330,0.312679778333771,61,0.5779353210752152,118,0.63703055229181,273,0.40920932437148344,71
7400,adaptive(dd>-0.002/rise<0.002),1723,0.914742017284303,201,0.8804365493929075,338,0.7033663300625739,75,1.7774788005407107,144,0.8090541736734385,276,1.2686669928070209,87
7600,adaptive(dd>-0.002/rise<0.002),1727,1.0817574414340085,198,1.0709187752754612,285,6.610940607403528,75,5.029124509140739,120,3.8463490244187684,273,5.502104196073595,88
7800,adaptive(dd>-0.002/rise<0.002),1724,2.428254172386378,186,1.6477022337313356,316,4.306886556614554,35,0.9512916121085243,95,3.367570364500466,221,1.1700652181881956,53
8000,adaptive(dd>-0.002/rise<0.002),1717,1.9498574267324824,180,1.9207984958956998,303,2.943536207237751,64,1.8558755777916092,133,2.4466968169851167,244,2.4629864465026783,78
8200,adaptive(dd>-0.002/rise<0.002),1693,1.824313298717638,170,2.419410378308383,269,8.439089693964102e-05,7,0.7680985879166534,67,0.9121988448072889,177,8.439089693964102e-05,7
