entry_ai,entry_ts,entry,exit_ts,exit,regime,regime_market,type,strat,score,adx,rsi,atr_pct,xgb,pnl_net,hold_bars,reason,bt83_a_plus,bt83_size_mult
1390,2022-01-18 17:00:00,50863000.0,2022-01-21 05:00:00,49648000.0,Range,Range,leading_signal,P0,3.37,25.4,32.9,8.0,0.795,-0.026887698326878085,15,트레일링,False,1.0
1472,2022-02-01 09:00:00,47500000.0,2022-02-03 17:00:00,45379000.0,Trend_Up,Trend_Up,pyramid,P2,4.27,27.6,60.3,34.0,0.539,-0.04765263157894737,14,ATR손절,False,1.0
1504,2022-02-06 17:00:00,50874000.0,2022-02-09 01:00:00,52588000.0,Trend_Up,Trend_Up,pyramid,P2,4.27,43.0,70.2,17.0,0.609,0.021566230574676448,14,계단손절,False,1.0
1519,2022-02-09 05:00:00,53651000.0,2022-02-12 13:00:00,51469000.0,Trend_Up,Trend_Up,pyramid,P2,4.27,49.7,64.5,67.0,0.555,-0.043670257777115064,20,트레일링,False,1.0
1560,2022-02-16 01:00:00,53311000.0,2022-02-17 21:00:00,51080000.0,Range,Range,pyramid,P2,5.07,22.3,61.6,10.0,0.649,-0.044848774174185445,11,ATR손절,False,1.0
1650,2022-03-03 01:00:00,53250000.0,2022-03-04 21:00:00,50166000.0,Trend_Up,Trend_Up,pyramid,P2,5.07,44.6,69.5,91.0,0.635,-0.06091549295774648,11,ATR손절,False,1.0
1692,2022-03-10 01:00:00,51926000.0,2022-03-10 17:00:00,48622000.0,Range,Range,pyramid,P2,5.07,25.9,67.2,50.0,0.76,-0.0666290105149636,4,ATR손절,False,1.0
1718,2022-03-14 09:00:00,47691000.0,2022-04-01 09:00:00,54710000.0,Range,Range,leading_signal,P0,2.87,13.3,39.2,1.0,0.721,0.144176616133023,108,트레일링,False,1.0
1829,2022-04-01 21:00:00,56542000.0,2022-04-06 21:00:00,54327000.0,Trend_Up,Trend_Up,pyramid,P2,5.77,30.8,56.7,85.0,0.7,-0.042174419015952744,30,ATR손절,False,1.0
1948,2022-04-21 17:00:00,52621000.0,2022-04-22 09:00:00,50812000.0,Trend_Up,Trend_Up,pyramid,P2,4.27,30.2,66.4,39.0,0.62,-0.037377909959901943,4,ATR손절,False,1.0
2112,2022-05-19 01:00:00,37818000.0,2022-05-27 09:00:00,37068000.0,Range,Range,leading_signal,P0,3.37,16.8,37.1,48.0,0.735,-0.022831826114548627,50,트레일링,False,1.0
2226,2022-06-07 01:00:00,39740000.0,2022-06-07 17:00:00,37692000.0,Trend_Up,Trend_Up,pyramid,P2,5.07,28.9,71.2,14.0,0.712,-0.05453497735279316,4,ATR손절,False,1.0
2233,2022-06-08 05:00:00,39398000.0,2022-06-11 01:00:00,37612000.0,Volatile,Volatile,trend,P0,4.07,25.5,59.8,100.0,0.669,-0.04833225036803899,17,ATR손절,False,1.0
2256,2022-06-12 01:00:00,37153000.0,2022-06-12 17:00:00,35625000.0,Range,Range,leading_signal,P0,3.37,16.8,35.4,41.0,0.76,-0.044127230640863456,4,ATR손절,False,1.0
2415,2022-07-08 13:00:00,28495000.0,2022-07-11 09:00:00,26972000.0,Trend_Up,Trend_Up,pyramid,P2,5.07,32.2,69.5,63.0,0.623,-0.05644797332865415,17,ATR손절,False,1.0
2478,2022-07-19 01:00:00,28430000.0,2022-07-21 09:00:00,30039000.0,Volatile,Volatile,trend,P0,4.07,27.9,55.8,100.0,0.772,0.05359514597256419,14,트레일링,False,1.0
2500,2022-07-22 17:00:00,31023000.0,2022-07-25 09:00:00,29056000.0,Trend_Up,Trend_Up,pyramid,P2,4.27,33.7,61.9,79.0,0.593,-0.06640457080230797,16,ATR손절,False,1.0
2535,2022-07-28 13:00:00,30099000.0,2022-08-01 05:00:00,30751000.0,Trend_Up,Trend_Up,pyramid,P2,5.07,29.9,60.2,66.0,0.768,0.009130451647661877,22,계단손절,False,1.0
2607,2022-08-09 13:00:00,31631000.0,2022-08-10 09:00:00,30658000.0,Range,Range,pyramid,P2,5.07,25.4,64.5,7.0,0.751,-0.03376096234706459,5,ATR손절,False,1.0
2616,2022-08-11 01:00:00,31374000.0,2022-08-17 21:00:00,31582000.0,Range,Range,pyramid,P2,5.07,20.1,55.2,29.0,0.644,-0.0074025408961188284,41,계단손절,False,1.0
2715,2022-08-27 13:00:00,27974000.0,2022-09-07 01:00:00,26380000.0,Range,Range,leading_signal,P0,3.37,21.8,26.4,34.0,0.692,-0.05998148280546222,63,ATR손절,False,1.0
2903,2022-09-27 21:00:00,28490000.0,2022-09-28 13:00:00,27291000.0,Range,Range,pyramid,P2,5.07,20.7,65.9,45.0,0.805,-0.04508494208494209,4,ATR손절,False,1.0
2910,2022-09-29 01:00:00,28119000.0,2022-10-07 21:00:00,27958000.0,Range,Range,pyramid,P2,5.07,17.1,57.1,88.0,0.763,-0.016979393546386824,53,계단손절,False,1.0
