entry_ai,entry_ts,entry,exit_ts,exit,regime,regime_market,type,strat,score,adx,rsi,atr_pct,bt85_ema21_dist,bt85_high20_dist,bt85_entry_atr,mfe,pnl_net,hold_bars,reason
1390,2022-01-18 17:00:00,50863000.0,2022-01-21 05:00:00,49648000.0,Range,Range,leading_signal,P0,3.37,25.4,32.9,8.0,-0.017103718537320935,-0.03834300731693483,602414.1273574554,0.02455616066688949,-0.026887698326878085,15,트레일링
1650,2022-03-03 01:00:00,53250000.0,2022-03-04 21:00:00,50166000.0,Trend_Up,Trend_Up,pyramid,P2,5.07,44.6,69.5,91.0,0.035133694931160815,-0.02879862846303963,1207554.6894833157,0.0020469483568075117,-0.06091549295774648,11,ATR손절
1718,2022-03-14 09:00:00,47691000.0,2022-04-01 09:00:00,54710000.0,Range,Range,leading_signal,P0,2.87,13.3,39.2,1.0,-0.01806358155917275,-0.04505316273202379,760040.1485024384,0.20542660040678534,0.144176616133023,108,트레일링
1829,2022-04-01 21:00:00,56542000.0,2022-04-06 21:00:00,54327000.0,Trend_Up,Trend_Up,pyramid,P2,5.77,30.8,56.7,85.0,0.009829441459757185,-0.01734445603058742,764642.7363251402,0.011106787874500371,-0.042174419015952744,30,ATR손절
1980,2022-04-27 01:00:00,48865000.0,2022-05-05 21:00:00,48037000.0,Range,Range,leading_signal,P0,3.37,23.3,38.1,92.0,-0.022412464657921207,-0.045474967280682906,742671.3133216935,0.04328251304614755,-0.019944643405300316,53,트레일링
2112,2022-05-19 01:00:00,37818000.0,2022-05-27 09:00:00,37068000.0,Range,Range,leading_signal,P0,3.37,16.8,37.1,48.0,-0.030220414445309086,-0.07760975609756098,850080.1230469834,0.03347612248135808,-0.022831826114548627,50,트레일링
2256,2022-06-12 01:00:00,37153000.0,2022-06-12 17:00:00,35625000.0,Range,Range,leading_signal,P0,3.37,16.8,35.4,41.0,-0.01986397132902821,-0.05197754529216637,539574.7170025647,0.0,-0.044127230640863456,4,ATR손절
2715,2022-08-27 13:00:00,27974000.0,2022-09-07 01:00:00,26380000.0,Range,Range,leading_signal,P0,3.37,21.8,26.4,34.0,-0.02993810344361941,-0.057955884829095805,393523.6554931679,0.002323586187173804,-0.05998148280546222,63,ATR손절
2906,2022-09-28 09:00:00,27119000.0,2022-10-11 05:00:00,27401000.0,Range,Range,leading_signal,P0,3.77,19.3,42.2,86.0,-0.019896008255129802,-0.06845974168727673,532740.9562284107,0.0686234743168996,0.007398613518197574,77,트레일링
3025,2022-10-18 05:00:00,27993000.0,2022-11-08 09:00:00,28510000.0,Range,Range,leading_signal,P0,4.27,20.0,60.0,34.0,0.008788121156733887,-0.0073404255319148935,279930.0,0.06662379880684456,0.01546890294002072,127,트레일링
