entry_ai,entry_ts,entry,exit_ts,exit,regime,regime_market,type,strat,score,adx,rsi,atr_pct,bt85_ema21_dist,bt85_high20_dist,bt85_entry_atr,mfe,pnl_net,hold_bars,reason
1390,2022-01-18 17:00:00,50863000.0,2022-01-21 05:00:00,49648000.0,Range,Range,leading_signal,P0,3.37,25.4,32.9,8.0,-0.017103718537320935,-0.03834300731693483,602414.1273574554,0.02455616066688949,-0.026887698326878085,15,트레일링
1464,2022-01-31 01:00:00,46704000.0,2022-02-04 01:00:00,45109000.0,Trend_Up,Trend_Up,pyramid,P2,3.77,28.7,55.1,36.0,0.0062197111098477136,-0.021823817702006452,794334.275104637,0.022610483042137718,-0.037151250428228845,24,트레일링
1517,2022-02-08 21:00:00,53131000.0,2022-02-12 13:00:00,51469000.0,Trend_Up,Trend_Up,pyramid,P2,5.07,52.5,63.6,61.0,0.021129092167862382,-0.03958713689195784,1009922.7707822577,0.025521823417590486,-0.034281172949878605,22,트레일링
1570,2022-02-17 17:00:00,52457000.0,2022-02-18 09:00:00,49746000.0,Range,Range,pyramid,P2,5.07,17.9,46.8,11.0,-0.007541877531817305,-0.02853809400348161,753348.9009635114,0.0,-0.05468042396629621,4,ATR손절
1650,2022-03-03 01:00:00,53250000.0,2022-03-04 21:00:00,50166000.0,Trend_Up,Trend_Up,pyramid,P2,5.07,44.6,69.5,91.0,0.035133694931160815,-0.02879862846303963,1207554.6894833157,0.0020469483568075117,-0.06091549295774648,11,ATR손절
1718,2022-03-14 09:00:00,47691000.0,2022-04-01 09:00:00,54710000.0,Range,Range,leading_signal,P0,2.87,13.3,39.2,1.0,-0.01806358155917275,-0.04505316273202379,760040.1485024384,0.20542660040678534,0.144176616133023,108,트레일링
1830,2022-04-02 01:00:00,56347000.0,2022-04-06 21:00:00,54327000.0,Trend_Up,Trend_Up,pyramid,P2,5.77,28.7,54.5,85.0,0.005766471305483553,-0.020733402850191172,760525.3980162016,0.01460592400660195,-0.03884929100040819,29,ATR손절
1950,2022-04-22 01:00:00,51505000.0,2022-04-22 21:00:00,49795000.0,Trend_Up,Trend_Up,pyramid,P2,5.07,32.0,52.0,52.0,0.0015403337677154317,-0.02958078191238813,678716.4466387883,0.0,-0.03620066013008446,5,ATR손절
1980,2022-04-27 01:00:00,48865000.0,2022-05-05 21:00:00,48037000.0,Range,Range,leading_signal,P0,3.37,23.3,38.1,92.0,-0.022412464657921207,-0.045474967280682906,742671.3133216935,0.04328251304614755,-0.019944643405300316,53,트레일링
2112,2022-05-19 01:00:00,37818000.0,2022-05-27 09:00:00,37068000.0,Range,Range,leading_signal,P0,3.37,16.8,37.1,48.0,-0.030220414445309086,-0.07760975609756098,850080.1230469834,0.03347612248135808,-0.022831826114548627,50,트레일링
2190,2022-06-01 01:00:00,39744000.0,2022-06-02 05:00:00,37880000.0,Trend_Up,Trend_Up,pyramid,P2,5.07,37.3,68.7,49.0,0.029211058347431294,-0.02108374384236453,612339.656534266,0.004503824476650564,-0.049900161030595816,7,ATR손절
2235,2022-06-08 13:00:00,38781000.0,2022-06-11 21:00:00,36970000.0,Volatile,Volatile,trend,P0,4.07,24.8,52.5,100.0,0.0061170437505541995,-0.02931017220664798,720652.5218611722,0.0,-0.049698125370671205,20,ATR손절
2415,2022-07-08 13:00:00,28495000.0,2022-07-11 09:00:00,26972000.0,Trend_Up,Trend_Up,pyramid,P2,5.07,32.2,69.5,63.0,0.05079009527981598,-0.020251684775134095,547350.6882249531,0.00572030180733462,-0.05644797332865415,17,ATR손절
2472,2022-07-18 01:00:00,27738000.0,2022-07-21 09:00:00,30039000.0,Range,Range,pyramid,P2,5.07,22.0,55.2,46.0,0.006428436649796517,-0.026087567150029845,491575.6127609147,0.145468310620809,0.06236745019569523,20,계단손절
2500,2022-07-22 17:00:00,31023000.0,2022-07-25 09:00:00,29056000.0,Trend_Up,Trend_Up,pyramid,P2,4.27,33.7,61.9,79.0,0.02956126934237754,-0.025384059564575415,695861.8567000206,0.0,-0.06640457080230797,16,ATR손절
2535,2022-07-28 13:00:00,30099000.0,2022-08-01 05:00:00,30751000.0,Trend_Up,Trend_Up,pyramid,P2,5.07,29.9,60.2,66.0,0.029933250408681233,-0.02275974025974026,571758.3096242031,0.07289278713578524,0.009130451647661755,22,계단손절
2576,2022-08-04 09:00:00,30801000.0,2022-08-17 17:00:00,31859000.0,Trend_Up,Trend_Up,pyramid,P2,3.27,30.6,49.2,3.0,-0.00199766827139544,-0.02184889961573883,474833.3826440328,0.07626375767020552,0.0014721045152374197,80,계단손절
